neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Baldwin Park,2018,75673,44%,32935,45%,55%,7520,58%,31%,75673,0%,19%,2%,74%,1%,0%,0%,4%
Montebello,2018,63366,37%,23709,47%,53%,10887,55%,28%,63366,0%,13%,1%,78%,0%,0%,1%,7%
Leimert Park,2018,12002,14%,1703,39%,61%,2858,57%,39%,12002,0%,3%,64%,23%,0%,0%,3%,6%
Santa Clarita,2018,181298,21%,38961,40%,60%,20446,58%,27%,181298,0%,11%,4%,35%,0%,0%,4%,46%
Elysian Park,2018,2621,46%,1214,42%,58%,740,49%,28%,2621,1%,37%,1%,45%,0%,0%,2%,14%
Wilmington,2018,57614,37%,21537,65%,35%,8946,61%,29%,57614,0%,2%,2%,89%,0%,0%,1%,6%
Jefferson Park,2018,25902,35%,9113,57%,43%,5963,63%,39%,25902,0%,4%,32%,55%,0%,1%,2%,6%
Downtown,2018,54894,33%,18215,51%,49%,26433,51%,25%,54894,0%,25%,18%,27%,0%,0%,4%,25%
Encino,2018,47595,34%,16142,26%,74%,8008,56%,34%,47595,0%,7%,3%,13%,0%,0%,3%,73%
West Adams,2018,20925,37%,7702,59%,41%,4716,63%,36%,20925,0%,3%,22%,66%,0%,1%,1%,6%
Hawaiian Gardens,2018,14770,40%,5841,52%,48%,2052,62%,39%,14770,0%,12%,5%,73%,0%,0%,1%,8%
Agoura Hills,2018,17524,23%,3989,29%,71%,1607,49%,29%,17524,0%,8%,3%,11%,0%,0%,4%,74%
Baldwin Hills/Crenshaw,2018,30218,22%,6757,54%,46%,9875,67%,38%,30218,0%,5%,56%,31%,0%,1%,2%,6%
Lake View Terrace,2018,13872,35%,4919,46%,54%,1194,58%,24%,13872,0%,6%,7%,62%,0%,0%,1%,23%
Adams-Normandie,2018,18625,42%,7733,61%,39%,4313,58%,35%,18625,0%,9%,20%,63%,0%,1%,1%,7%
El Monte,2018,110078,50%,54648,51%,49%,16462,64%,32%,110078,0%,29%,0%,66%,1%,0%,1%,4%
Rancho Dominguez,2018,2898,25%,713,63%,37%,116,51%,38%,2898,0%,3%,29%,46%,0%,0%,2%,20%
Acton,2018,2886,8%,223,35%,65%,78,41%,35%,2886,0%,2%,2%,21%,0%,0%,1%,73%
Studio City,2018,40465,18%,7365,33%,67%,10763,49%,27%,40465,0%,8%,5%,11%,0%,0%,4%,72%
La Puente,2018,40474,41%,16434,51%,49%,3579,53%,26%,40474,0%,11%,1%,83%,0%,0%,0%,4%
North Hollywood,2018,78765,40%,31204,46%,54%,24248,59%,33%,78765,0%,6%,6%,50%,0%,0%,1%,36%
Rosemead,2018,52275,56%,29219,35%,65%,7324,59%,31%,52275,0%,61%,0%,34%,0%,0%,1%,4%
San Marino,2018,13275,42%,5511,20%,80%,620,26%,16%,13275,0%,59%,2%,4%,0%,0%,3%,30%
East San Gabriel,2018,21222,48%,10280,32%,68%,2939,53%,26%,21222,0%,54%,1%,26%,0%,0%,1%,17%
South Park,2018,34414,42%,14612,78%,22%,5878,71%,44%,34414,0%,0%,11%,88%,0%,0%,0%,0%
Burbank,2018,104040,33%,34148,35%,65%,24068,54%,30%,104040,0%,12%,3%,24%,0%,1%,3%,57%
Woodland Hills,2018,69070,31%,21275,33%,67%,11370,52%,28%,69070,0%,11%,6%,13%,0%,0%,4%,67%
Angeles Crest,2018,4244,18%,769,34%,66%,198,44%,19%,4244,0%,7%,4%,28%,0%,0%,3%,56%
East Compton,2018,12352,34%,4212,67%,33%,1240,62%,32%,12352,0%,1%,14%,83%,0%,0%,1%,1%
Chatsworth,2018,52832,32%,16939,24%,76%,6494,55%,26%,52832,0%,21%,5%,24%,0%,1%,3%,46%
Mayflower Village,2018,10427,36%,3712,44%,56%,931,51%,25%,10427,0%,24%,6%,51%,1%,0%,2%,16%
Koreatown,2018,106295,59%,63011,64%,36%,39992,60%,31%,106295,0%,37%,5%,46%,1%,0%,2%,9%
South Gate,2018,95186,43%,41212,57%,43%,13859,61%,30%,95186,0%,1%,1%,95%,0%,0%,0%,3%
Elysian Valley,2018,7439,39%,2911,39%,61%,1259,48%,22%,7439,0%,18%,2%,63%,0%,0%,2%,15%
Claremont,2018,39062,19%,7335,32%,68%,4471,55%,28%,39062,0%,14%,5%,26%,0%,0%,4%,50%
Avocado Heights,2018,14122,36%,5072,45%,55%,913,54%,28%,14122,0%,14%,1%,78%,0%,0%,0%,7%
South San Gabriel,2018,8856,49%,4305,35%,65%,832,50%,29%,8856,0%,48%,0%,46%,0%,0%,1%,5%
Northwest Antelope Valley,2018,5880,9%,502,33%,67%,430,51%,20%,5880,1%,3%,6%,23%,0%,0%,2%,65%
Echo Park,2018,35364,35%,12453,52%,48%,10140,48%,25%,35364,0%,16%,3%,49%,0%,0%,3%,28%
Lynwood,2018,70222,38%,26623,65%,35%,8675,63%,32%,70222,0%,1%,8%,87%,0%,0%,0%,2%
Unincorporated Santa Susana Mountains,2018,24553,25%,6084,29%,71%,2631,53%,33%,24553,0%,19%,3%,25%,0%,0%,4%,49%
Shadow Hills,2018,13800,36%,4925,26%,74%,1212,57%,36%,13800,0%,9%,2%,24%,0%,0%,2%,64%
La Habra Heights,2018,9809,20%,1920,17%,83%,276,25%,16%,9809,0%,17%,0%,34%,0%,1%,1%,46%
Covina,2018,54701,26%,14316,36%,64%,7184,52%,25%,54701,0%,13%,3%,60%,0%,0%,2%,22%
Northwest Palmdale,2018,4350,12%,524,31%,69%,168,55%,26%,4350,0%,9%,5%,30%,0%,1%,3%,51%
Sawtelle,2018,41822,33%,13675,49%,51%,14578,48%,23%,41822,0%,21%,3%,20%,0%,0%,5%,51%
Rancho Park,2018,5307,33%,1767,44%,56%,1172,49%,24%,5307,0%,25%,4%,15%,0%,0%,4%,52%
East Los Angeles,2018,118638,41%,48713,63%,37%,20518,54%,28%,118638,0%,1%,0%,96%,0%,0%,0%,2%
Beverlywood,2018,6858,21%,1429,28%,72%,972,45%,25%,6858,0%,9%,3%,7%,0%,0%,2%,79%
Bellflower,2018,77476,32%,24738,51%,49%,14267,59%,31%,77476,0%,13%,12%,56%,1%,1%,2%,16%
Azusa,2018,46058,30%,13952,49%,51%,5321,58%,30%,46058,0%,11%,3%,68%,0%,0%,2%,16%
Del Rey,2018,29696,32%,9396,49%,51%,7646,50%,25%,29696,0%,15%,5%,36%,0%,0%,4%,39%
Mid-Wilshire,2018,42500,32%,13538,52%,48%,15345,53%,28%,42500,0%,20%,14%,20%,0%,2%,3%,40%
North Whittier,2018,7029,19%,1302,29%,71%,391,44%,20%,7029,0%,14%,1%,58%,0%,0%,1%,25%
Beverly Crest,2018,11025,25%,2718,22%,78%,527,25%,12%,11025,0%,7%,1%,4%,0%,0%,1%,86%
Cerritos,2018,50216,44%,22057,25%,75%,3439,50%,27%,50216,0%,60%,7%,14%,0%,0%,4%,15%
West Hills,2018,39776,28%,10986,22%,78%,1990,50%,26%,39776,0%,15%,4%,15%,0%,0%,3%,62%
Vincent,2018,13566,30%,4102,41%,59%,913,53%,21%,13566,0%,11%,1%,72%,0%,0%,2%,13%
Sun Village,2018,1932,27%,531,53%,47%,176,64%,41%,1932,1%,1%,8%,67%,0%,0%,1%,22%
Playa del Rey,2018,11403,17%,1964,32%,68%,2945,41%,19%,11403,0%,12%,7%,11%,0%,1%,4%,64%
Valinda,2018,20227,40%,8084,45%,55%,1090,43%,29%,20227,0%,19%,2%,72%,0%,0%,1%,5%
Tujunga,2018,27095,40%,10721,27%,73%,4610,66%,40%,27095,0%,7%,2%,25%,0%,0%,2%,63%
Exposition Park,2018,35255,43%,15208,61%,39%,7314,61%,37%,35255,0%,5%,22%,67%,0%,0%,1%,4%
Eagle Rock,2018,34909,33%,11631,30%,70%,5196,49%,21%,34909,0%,27%,2%,38%,0%,0%,2%,30%
Harbor City,2018,26273,35%,9221,54%,46%,4652,50%,27%,26273,0%,19%,10%,49%,2%,0%,3%,17%
Southeast Antelope Valley,2018,8742,20%,1765,45%,55%,665,50%,30%,8742,0%,4%,6%,47%,0%,0%,3%,40%
Reseda,2018,72653,44%,32152,41%,59%,11176,60%,34%,72653,0%,13%,4%,53%,0%,1%,2%,26%
Willowbrook,2018,37388,29%,10790,71%,29%,4530,64%,44%,37388,0%,1%,28%,70%,0%,0%,0%,1%
Highland Park,2018,52841,37%,19430,51%,49%,10034,50%,25%,52841,0%,11%,2%,69%,0%,0%,2%,16%
Temple City,2018,37262,49%,18205,30%,70%,4799,60%,34%,37262,0%,60%,1%,21%,0%,0%,2%,16%
Westlake Village,2018,7750,15%,1163,16%,84%,398,38%,16%,7750,0%,7%,2%,7%,0%,0%,4%,80%
Pico-Robertson,2018,16780,32%,5434,35%,65%,5673,52%,34%,16780,0%,8%,3%,8%,0%,0%,4%,76%
Monrovia,2018,39224,26%,10350,50%,50%,6994,49%,22%,39224,0%,14%,5%,42%,1%,0%,4%,34%
Broadway-Manchester,2018,29711,34%,10132,72%,28%,5077,67%,44%,29711,0%,0%,27%,70%,0%,1%,1%,0%
Sunland,2018,14587,36%,5265,25%,75%,1551,53%,30%,14587,0%,11%,1%,25%,1%,1%,2%,58%
Agua Dulce,2018,4603,10%,443,48%,52%,100,41%,23%,4603,0%,3%,1%,18%,0%,0%,3%,74%
Malibu,2018,9719,11%,1094,42%,58%,924,29%,16%,9719,0%,3%,1%,10%,0%,0%,4%,83%
Topanga,2018,6851,15%,1054,31%,69%,575,36%,16%,6851,1%,5%,1%,8%,0%,0%,3%,82%
Northeast Antelope Valley,2018,23454,18%,4273,50%,50%,2171,45%,27%,23454,0%,2%,8%,56%,0%,0%,2%,31%
Arleta,2018,36264,45%,16403,44%,56%,1909,60%,40%,36264,0%,11%,1%,79%,0%,0%,1%,9%
Van Nuys,2018,112579,45%,50833,60%,40%,28042,67%,35%,112579,0%,7%,5%,65%,0%,1%,2%,21%
Mar Vista,2018,37746,31%,11611,57%,43%,9979,48%,22%,37746,0%,14%,4%,28%,0%,1%,4%,49%
Valley Glen,2018,58611,43%,25281,43%,57%,13572,61%,34%,58611,0%,5%,4%,40%,0%,0%,2%,48%
Arcadia,2018,61708,48%,29572,34%,66%,8123,48%,25%,61708,0%,60%,1%,14%,0%,0%,3%,22%
Windsor Square,2018,6288,42%,2623,43%,57%,1688,59%,22%,6288,0%,45%,4%,13%,0%,0%,5%,34%
West Puente Valley,2018,20737,35%,7340,43%,57%,1280,44%,21%,20737,0%,11%,2%,82%,0%,0%,0%,3%
Central-Alameda,2018,46220,45%,20655,80%,20%,7160,65%,36%,46220,0%,0%,8%,91%,0%,0%,0%,1%
Arlington Heights,2018,22093,51%,11268,61%,39%,5740,59%,30%,22093,0%,23%,14%,56%,0%,0%,2%,5%
Harvard Heights,2018,18928,53%,9989,67%,33%,4799,59%,32%,18928,0%,21%,8%,65%,0%,0%,1%,5%
Harvard Park,2018,9676,35%,3339,58%,42%,1474,68%,46%,9676,0%,1%,35%,60%,0%,0%,2%,2%
East Hollywood,2018,66755,55%,36398,56%,44%,21425,59%,31%,66755,0%,18%,3%,56%,0%,0%,2%,21%
Lennox,2018,18670,46%,8578,66%,34%,3317,56%,30%,18670,0%,2%,3%,93%,1%,0%,0%,1%
Larchmont,2018,8528,37%,3186,42%,58%,2488,49%,28%,8528,0%,27%,5%,35%,0%,0%,5%,29%
Tarzana,2018,38103,38%,14626,30%,70%,6354,61%,35%,38103,0%,8%,5%,18%,0%,1%,3%,65%
Rolling Hills,2018,2815,19%,539,28%,72%,113,43%,19%,2815,0%,19%,1%,8%,0%,0%,4%,68%
Mid-City,2018,50618,33%,16910,56%,44%,12887,58%,31%,50618,0%,7%,23%,48%,0%,1%,2%,18%
Westchester,2018,40970,19%,7601,45%,55%,7622,50%,31%,40970,0%,14%,12%,19%,0%,0%,5%,49%
Manchester Square,2018,11568,16%,1821,51%,49%,1837,70%,43%,11568,0%,1%,69%,26%,0%,0%,2%,2%
Rowland Heights,2018,43204,54%,23545,38%,62%,4313,56%,28%,43204,0%,62%,1%,26%,0%,0%,2%,9%
Ridge Route,2018,7064,16%,1161,35%,65%,610,55%,22%,7064,0%,6%,3%,29%,0%,0%,4%,57%
South San Jose Hills,2018,20023,43%,8516,51%,49%,1286,52%,35%,20023,0%,11%,2%,84%,0%,0%,0%,3%
Vermont-Slauson,2018,28974,39%,11323,64%,36%,5168,67%,39%,28974,0%,1%,23%,75%,0%,0%,1%,1%
Athens,2018,8991,21%,1903,56%,44%,1259,64%,36%,8991,0%,1%,52%,43%,0%,1%,1%,1%
Mount Washington,2018,14854,30%,4424,43%,57%,2012,51%,24%,14854,0%,17%,3%,46%,0%,0%,2%,31%
West Compton,2018,6559,24%,1560,39%,61%,557,57%,29%,6559,0%,2%,49%,44%,0%,0%,1%,4%
Los Feliz,2018,32233,29%,9277,35%,65%,12961,49%,25%,32233,0%,11%,2%,15%,0%,0%,4%,67%
Chinatown,2018,15285,41%,6216,46%,54%,3783,57%,30%,15285,1%,38%,14%,31%,0%,0%,2%,13%
Century City,2018,6028,29%,1774,23%,77%,990,53%,32%,6028,0%,20%,3%,5%,0%,0%,3%,69%
Florence-Firestone,2018,62828,41%,25983,71%,29%,9153,61%,36%,62828,0%,0%,7%,92%,0%,0%,0%,1%
University Park,2018,24053,39%,9476,77%,23%,5031,62%,41%,24053,0%,29%,6%,36%,0%,0%,3%,25%
Hollywood Hills West,2018,15042,25%,3695,42%,58%,2524,53%,28%,15042,0%,6%,5%,9%,0%,0%,5%,76%
Unincorporated Santa Monica Mountains,2018,23082,18%,4097,33%,67%,2213,47%,31%,23082,0%,8%,2%,10%,0%,0%,4%,76%
West Los Angeles,2018,13420,30%,4007,33%,67%,3148,48%,24%,13420,0%,21%,4%,6%,0%,0%,4%,65%
Hancock Park,2018,10497,21%,2244,25%,75%,2354,42%,23%,10497,0%,14%,1%,8%,0%,1%,5%,71%
Canoga Park,2018,61784,46%,28133,63%,37%,13694,59%,30%,61784,0%,14%,4%,57%,0%,1%,1%,23%
Chesterfield Square,2018,8321,33%,2725,58%,42%,1431,69%,48%,8321,0%,1%,42%,54%,0%,0%,1%,2%
Hidden Hills,2018,2330,21%,500,38%,63%,248,34%,13%,2330,0%,9%,1%,10%,0%,0%,3%,77%
Norwalk,2018,105120,35%,37119,44%,56%,9734,56%,27%,105120,0%,14%,4%,70%,0%,0%,1%,10%
North El Monte,2018,2377,36%,860,26%,74%,299,51%,39%,2377,0%,44%,0%,27%,0%,0%,2%,26%
Monterey Park,2018,60836,55%,33284,36%,64%,9680,57%,33%,60836,0%,66%,1%,27%,1%,0%,1%,4%
Hollywood,2018,72447,40%,29084,52%,48%,33937,57%,30%,72447,0%,8%,7%,36%,0%,1%,3%,45%
Fairfax,2018,13546,22%,3016,42%,58%,4591,48%,24%,13546,0%,8%,4%,10%,0%,0%,4%,74%
Glassell Park,2018,24882,40%,10031,44%,56%,4509,59%,29%,24882,0%,18%,1%,60%,0%,0%,2%,18%
Watts,2018,44419,32%,14351,73%,27%,6828,69%,42%,44419,1%,1%,22%,75%,0%,0%,0%,1%
La Verne,2018,31724,16%,4970,31%,69%,2908,57%,27%,31724,0%,9%,3%,37%,0%,0%,2%,48%
Rancho Palos Verdes,2018,41822,28%,11701,28%,72%,3519,53%,27%,41822,0%,31%,2%,10%,1%,0%,5%,52%
Green Meadows,2018,35756,32%,11513,68%,32%,5097,65%,40%,35756,0%,0%,28%,70%,0%,0%,0%,0%
Del Aire,2018,9178,30%,2739,42%,58%,1357,51%,23%,9178,0%,6%,8%,54%,1%,0%,3%,27%
Vermont Knolls,2018,22932,32%,7371,73%,27%,5069,67%,41%,22932,0%,1%,33%,63%,0%,0%,1%,1%
Castaic,2018,11165,19%,2103,18%,82%,280,42%,14%,11165,0%,13%,5%,25%,0%,0%,3%,54%
Westwood,2018,53702,29%,15431,56%,44%,12260,58%,41%,53702,0%,27%,3%,13%,0%,0%,5%,51%
Venice,2018,34617,20%,6892,45%,55%,11042,46%,22%,34617,0%,4%,6%,16%,0%,0%,3%,69%
South Diamond Bar,2018,5087,45%,2301,30%,70%,345,46%,37%,5087,0%,58%,5%,14%,0%,0%,2%,21%
Universal City,2018,150,27%,41,38%,64%,24,56%,26%,150,0%,9%,2%,9%,1%,1%,6%,72%
Pacific Palisades,2018,23717,13%,3078,32%,68%,1854,42%,28%,23717,0%,6%,0%,6%,0%,0%,5%,82%
Bel-Air,2018,7222,31%,2215,19%,81%,483,31%,20%,7222,0%,10%,2%,6%,0%,0%,6%,75%
East Pasadena,2018,5648,39%,2188,33%,67%,613,51%,23%,5648,0%,28%,2%,38%,0%,0%,3%,29%
Cudahy,2018,24324,44%,10654,71%,29%,4839,60%,30%,24324,0%,1%,0%,96%,0%,0%,0%,3%
Palos Verdes Estates,2018,13179,20%,2681,21%,79%,613,39%,27%,13179,0%,21%,0%,10%,0%,0%,3%,66%
Ladera Heights,2018,12417,15%,1809,31%,69%,1692,52%,31%,12417,0%,11%,54%,8%,0%,0%,5%,21%
Walnut Park,2018,15872,50%,7902,59%,41%,1711,52%,28%,15872,0%,1%,0%,98%,0%,0%,0%,1%
La Crescenta-Montrose,2018,17818,32%,5765,29%,71%,1725,47%,29%,17818,0%,28%,0%,16%,0%,0%,3%,53%
Gardena,2018,59587,35%,20806,45%,55%,10469,57%,27%,59587,0%,24%,23%,39%,1%,1%,2%,10%
Duarte,2018,21491,33%,7145,38%,62%,2490,60%,30%,21491,0%,17%,6%,50%,0%,0%,2%,24%
La Mirada,2018,48922,24%,11779,24%,76%,3082,54%,23%,48922,0%,20%,2%,42%,0%,0%,3%,33%
Maywood,2018,25649,46%,11741,69%,31%,4635,63%,31%,25649,0%,0%,0%,98%,0%,0%,0%,1%
Alondra Park,2018,8644,30%,2552,42%,58%,1311,51%,20%,8644,0%,14%,16%,44%,0%,0%,5%,21%
Beverly Grove,2018,22241,26%,5785,32%,68%,8514,49%,24%,22241,1%,8%,3%,9%,0%,0%,4%,74%
Vermont Vista,2018,26683,30%,8118,71%,29%,4720,66%,39%,26683,0%,0%,34%,64%,0%,0%,1%,1%
Lawndale,2018,32776,38%,12401,52%,48%,6584,57%,25%,32776,0%,10%,8%,64%,1%,0%,2%,15%
Hyde Park,2018,35777,25%,8880,52%,48%,7399,70%,45%,35777,0%,1%,54%,38%,0%,1%,2%,4%
Lomita,2018,20090,21%,4142,42%,58%,4113,50%,23%,20090,0%,16%,5%,33%,0%,0%,4%,42%
South Pasadena,2018,25681,26%,6738,38%,62%,5301,41%,19%,25681,0%,30%,3%,20%,0%,1%,5%,42%
Westmont,2018,33596,27%,9163,69%,31%,7596,68%,42%,33596,0%,0%,44%,53%,0%,0%,1%,2%
San Pasqual,2018,1910,29%,556,19%,81%,393,61%,31%,1910,0%,24%,6%,19%,0%,1%,2%,48%
West Hollywood,2018,36305,25%,8967,35%,65%,18844,47%,25%,36305,0%,5%,4%,11%,0%,0%,4%,76%
Artesia,2018,16751,46%,7788,47%,53%,2411,61%,33%,16751,0%,37%,3%,40%,0%,0%,3%,17%
Manhattan Beach,2018,35451,12%,4345,32%,68%,4053,35%,16%,35451,0%,12%,0%,8%,0%,0%,5%,74%
West Carson,2018,22466,39%,8867,37%,63%,2388,46%,22%,22466,0%,34%,11%,36%,0%,0%,2%,16%
Hermosa Beach,2018,19590,10%,1993,36%,64%,4594,28%,15%,19590,1%,6%,1%,10%,0%,0%,4%,77%
Carthay,2018,5372,22%,1193,39%,61%,1497,53%,22%,5372,0%,11%,9%,12%,1%,0%,6%,60%
Beverly Hills,2018,34311,36%,12187,25%,75%,8780,50%,29%,34311,0%,10%,2%,6%,0%,0%,4%,78%
El Segundo,2018,16831,14%,2306,36%,64%,3697,40%,15%,16831,0%,10%,4%,13%,0%,1%,9%,64%
View Park-Windsor Hills,2018,11557,7%,814,38%,62%,1161,55%,32%,11557,1%,3%,79%,7%,0%,0%,4%,6%
Sierra Madre,2018,10989,14%,1575,30%,70%,1747,42%,20%,10989,0%,12%,1%,16%,0%,1%,3%,66%
Gramercy Park,2018,10680,18%,1887,51%,49%,1679,64%,34%,10680,0%,0%,73%,22%,1%,1%,2%,1%
Aggregated,2018,10058722,34%,3446840,48%,52%,1784703,55%,30%,10058722,0%,14%,8%,49%,0%,0%,2%,26%
Irwindale,2019,1741,24%,423,43%,57%,141,50%,17%,1741,0%,4%,0%,86%,0%,0%,0%,9%
Pico-Union,2019,40929,56%,22784,70%,30%,11541,61%,28%,40929,0%,11%,3%,82%,0%,0%,0%,4%
Glendora,2019,55081,19%,10598,38%,62%,5325,46%,22%,55081,0%,12%,2%,34%,0%,0%,4%,48%
Industry,2019,22724,44%,10058,43%,57%,1790,53%,30%,22724,0%,35%,1%,54%,0%,0%,1%,9%
Sylmar,2019,80394,36%,28604,49%,51%,7576,59%,31%,80394,0%,5%,3%,80%,0%,0%,1%,12%
Torrance,2019,144817,30%,43256,42%,58%,23900,47%,22%,144817,0%,36%,3%,19%,0%,0%,5%,37%
Alhambra,2019,84441,49%,41587,36%,64%,17845,53%,27%,84441,0%,51%,2%,36%,0%,0%,2%,9%
Pico Rivera,2019,64059,29%,18850,39%,61%,5423,50%,24%,64059,0%,3%,1%,90%,0%,0%,0%,6%
Rolling Hills Estates,2019,10262,26%,2689,31%,69%,471,40%,19%,10262,0%,28%,2%,9%,0%,0%,4%,56%
Signal Hill,2019,11742,28%,3232,31%,69%,2314,58%,29%,11742,0%,25%,11%,32%,0%,0%,3%,29%
Hawthorne,2019,91632,35%,32406,55%,45%,21643,56%,29%,91632,0%,8%,22%,56%,0%,1%,2%,11%
North Hills,2019,63593,41%,26232,52%,48%,9269,64%,36%,63593,0%,14%,4%,62%,0%,0%,2%,17%
Hacienda Heights,2019,53386,40%,21575,28%,72%,4018,51%,30%,53386,0%,40%,1%,45%,0%,0%,1%,12%
Harbor Gateway,2019,42265,36%,15300,58%,42%,7623,60%,36%,42265,0%,16%,15%,59%,0%,1%,2%,7%
Lopez/Kagel Canyons,2019,1491,32%,472,41%,59%,108,69%,22%,1491,1%,8%,12%,48%,0%,0%,2%,29%
Citrus,2019,12964,29%,3795,50%,50%,1301,52%,30%,12964,0%,9%,3%,72%,0%,0%,1%,14%
Lake Balboa,2019,27040,33%,9023,41%,59%,3613,60%,32%,27040,0%,10%,5%,43%,0%,1%,4%,36%
Granada Hills,2019,53296,35%,18410,25%,75%,4841,57%,30%,53296,0%,18%,4%,31%,0%,0%,2%,45%
Palms,2019,39854,33%,13284,50%,50%,17627,46%,20%,39854,0%,24%,9%,20%,0%,1%,4%,41%
Santa Monica,2019,89904,24%,21164,38%,62%,31369,42%,22%,89904,0%,10%,4%,15%,0%,1%,5%,65%
Pacoima,2019,78698,44%,34441,57%,43%,7831,64%,35%,78698,0%,2%,4%,90%,0%,0%,0%,3%
Toluca Lake,2019,9424,20%,1910,46%,54%,2923,50%,24%,9424,0%,9%,3%,22%,0%,0%,3%,63%
Veterans Administration,2019,1225,12%,147,47%,53%,122,49%,26%,1225,0%,12%,19%,24%,0%,0%,4%,39%
Valley Village,2019,25378,25%,6346,24%,76%,7982,58%,29%,25378,0%,6%,6%,20%,0%,0%,4%,64%
Brentwood,2019,33633,19%,6303,30%,70%,7762,45%,21%,33633,0%,8%,2%,6%,0%,0%,4%,81%
Pomona,2019,153474,34%,52018,56%,44%,18201,59%,30%,153474,0%,10%,5%,71%,0%,0%,2%,11%
South Whittier,2019,55605,25%,14150,42%,58%,5013,51%,28%,55605,1%,5%,1%,77%,0%,1%,1%,14%
Pasadena,2019,144162,30%,43100,48%,52%,32316,49%,26%,144162,0%,17%,8%,35%,0%,0%,3%,36%
Winnetka,2019,54520,41%,22583,47%,53%,8104,61%,34%,54520,0%,17%,4%,49%,0%,1%,2%,26%
Palmdale,2019,158643,25%,39289,44%,56%,15537,58%,33%,158643,0%,4%,12%,61%,0%,0%,1%,20%
Porter Ranch,2019,25007,37%,9361,19%,81%,1011,48%,23%,25007,0%,29%,3%,14%,0%,0%,4%,50%
South El Monte,2019,20170,47%,9440,61%,39%,2853,57%,31%,20170,0%,16%,0%,82%,1%,0%,0%,2%
Tujunga Canyons,2019,7951,18%,1396,26%,74%,338,51%,24%,7951,1%,10%,5%,25%,0%,0%,3%,56%
Commerce,2019,13873,36%,5003,55%,45%,1922,49%,21%,13873,1%,0%,2%,94%,0%,0%,0%,2%
San Fernando,2019,24527,38%,9247,51%,49%,3019,58%,30%,24527,0%,1%,1%,93%,0%,0%,0%,4%
Sherman Oaks,2019,71916,24%,17414,32%,68%,19714,53%,27%,71916,0%,7%,6%,15%,0%,0%,5%,67%
Bradbury,2019,1152,27%,315,35%,65%,184,50%,33%,1152,0%,29%,1%,15%,0%,0%,1%,53%
Panorama City,2019,69536,52%,36227,57%,43%,12751,66%,38%,69536,0%,14%,3%,73%,0%,0%,0%,9%
Northridge,2019,68653,35%,24110,44%,56%,11209,60%,35%,68653,0%,18%,7%,35%,0%,0%,3%,37%
Culver City,2019,35700,25%,9073,36%,64%,7177,48%,24%,35700,0%,16%,7%,25%,0%,1%,5%,47%
Lakewood,2019,80343,21%,17072,32%,68%,7445,50%,25%,80343,0%,18%,9%,34%,1%,0%,3%,34%
Compton,2019,99631,29%,29114,63%,37%,11197,61%,36%,99631,0%,1%,28%,68%,0%,1%,1%,1%
Vernon,2019,362,32%,115,51%,49%,72,27%,12%,362,3%,0%,9%,82%,0%,0%,1%,5%
San Dimas,2019,35417,20%,7137,32%,68%,3433,55%,29%,35417,0%,14%,2%,36%,0%,0%,3%,45%
Inglewood,2019,111247,29%,32217,57%,43%,23474,57%,29%,111247,0%,2%,39%,52%,0%,0%,2%,4%
Charter Oak,2019,9157,26%,2338,38%,62%,1133,54%,29%,9157,0%,14%,3%,57%,0%,0%,3%,22%
Paramount,2019,55230,35%,19202,57%,43%,8471,55%,28%,55230,0%,3%,9%,81%,1%,0%,1%,5%
San Pedro,2019,80679,23%,18800,48%,52%,17893,56%,30%,80679,0%,7%,6%,50%,0%,0%,3%,33%
Lincoln Heights,2019,29692,45%,13321,52%,48%,6322,59%,33%,29692,0%,22%,1%,70%,0%,0%,1%,5%
Boyle Heights,2019,94092,43%,40549,66%,34%,18173,59%,30%,94092,0%,2%,1%,93%,0%,0%,0%,2%
Historic South-Central,2019,50711,47%,23909,77%,23%,9454,62%,33%,50711,0%,1%,6%,91%,0%,0%,1%,1%
Avalon,2019,3644,19%,700,82%,18%,1054,42%,31%,3644,0%,0%,0%,56%,0%,0%,1%,43%
Westlake,2019,112342,55%,61932,71%,29%,37778,56%,28%,112342,0%,18%,5%,68%,0%,0%,1%,7%
Mission Hills,2019,19294,40%,7784,38%,62%,1535,57%,39%,19294,0%,10%,1%,71%,1%,1%,1%,15%
Quartz Hill,2019,9968,9%,884,26%,74%,885,40%,15%,9968,2%,4%,8%,30%,0%,0%,3%,53%
Marina del Rey,2019,9589,27%,2578,67%,33%,5065,52%,27%,9589,0%,11%,7%,11%,1%,1%,3%,67%
Bell,2019,35747,42%,14953,62%,38%,6416,58%,30%,35747,0%,1%,1%,93%,0%,0%,0%,5%
Long Beach,2019,464602,25%,117278,49%,51%,98804,53%,26%,464602,0%,13%,12%,43%,1%,0%,3%,28%
San Gabriel,2019,40763,56%,22875,44%,56%,6911,55%,32%,40763,0%,61%,1%,26%,0%,0%,1%,11%
Downey,2019,113001,33%,36854,39%,61%,16658,52%,24%,113001,0%,7%,3%,75%,0%,0%,1%,14%
